u_V,v_mm_s,presion_A_bar,presion_B_bar
-10.0,-2.9257,26.8,44.5
-8.0,-2.786,37.3,62.0
-6.0,-1.9811,35.7,59.6
-4.0,-1.4148,41.1,68.6
-2.0,-0.6333,41.8,69.6
-1.0,-0.2444,35.6,59.2
-0.5,-0.0607,31.5,52.4
-0.25,0.0328,30.5,52.0
-0.1,0.0795,30.6,52.2
-0.05,0.1032,30.8,52.5
0.0,0.115,30.7,52.4
0.05,0.1402,31.0,52.8
0.1,0.1572,31.0,52.9
0.25,0.2037,31.3,53.5
0.5,0.3262,31.9,54.4
1.0,0.5438,31.5,53.8
2.0,0.9869,30.2,51.3
4.0,1.8593,26.8,45.4
6.0,2.6575,23.0,38.9
8.0,3.2415,18.4,31.1
10.0,3.922,16.4,27.7
