sentido,t_s,posicion_mm,presion_A_bar,presion_B_bar
calentamiento,0.0000,32.0240,30.7834,0.0000
calentamiento,120.2942,73.2466,30.3150,0.0000
calentamiento,120.3536,73.2040,30.4179,0.0000
calentamiento,120.5530,73.2341,30.4761,0.0000
calentamiento,120.7539,73.2197,30.4724,0.0000
calentamiento,120.9544,73.1790,30.5168,0.0000
calentamiento,121.1540,73.2220,30.5059,0.0000
calentamiento,121.3538,73.1959,30.5693,0.0000
calentamiento,121.5519,73.1881,30.5894,0.0000
calentamiento,121.7531,73.2173,30.6505,0.0000
calentamiento,121.9550,73.1766,30.6129,0.0000
calentamiento,122.1546,73.1881,30.7030,0.0000
calentamiento,122.3536,73.1982,30.6448,0.0000
calentamiento,122.5550,73.1445,30.6482,0.0000
calentamiento,122.7555,73.2048,30.6638,0.0000
calentamiento,122.9533,73.1886,30.6803,0.0000
calentamiento,123.1602,73.1523,30.6920,0.0000
calentamiento,123.3562,73.2044,30.6735,0.0000
calentamiento,123.5563,73.1565,30.7343,0.0000
calentamiento,123.7565,73.1411,30.7492,0.0000
calentamiento,123.9564,73.1690,30.7074,0.0000
calentamiento,124.1523,73.1207,30.7027,0.0000
calentamiento,124.3568,73.1321,30.8168,0.0000
calentamiento,124.5567,73.1453,30.7401,0.0000
calentamiento,124.7563,73.1157,30.7782,0.0000
calentamiento,124.9570,73.1597,30.8505,0.0000
calentamiento,125.1562,73.1299,30.8461,0.0000
calentamiento,125.3549,73.0923,30.8758,0.0000
calentamiento,125.5573,73.1272,30.8664,0.0000
calentamiento,125.7572,73.1021,30.8197,0.0000
calentamiento,125.9481,73.0803,30.8155,0.0000
calentamiento,126.1581,73.1315,30.8977,0.0000
calentamiento,126.3474,73.0733,30.8220,0.0000
calentamiento,126.5475,73.0727,30.9056,0.0000
calentamiento,126.7582,73.1071,30.8233,0.0000
calentamiento,126.9587,73.0482,30.8990,0.0000
calentamiento,127.1581,73.0877,30.8795,0.0000
calentamiento,127.3583,73.0901,30.8419,0.0000
calentamiento,127.5588,73.0492,30.8716,0.0000
calentamiento,127.7565,73.0920,30.9301,0.0000
calentamiento,127.9590,73.0741,30.8361,0.0000
calentamiento,128.1590,73.0298,30.9173,0.0000
calentamiento,128.3497,73.0726,30.8424,0.0000
calentamiento,128.5596,73.0163,30.8941,0.0000
calentamiento,128.7598,73.0215,30.8881,0.0000
calentamiento,128.9614,73.0491,30.8693,0.0000
calentamiento,129.1606,73.0045,30.9019,0.0000
calentamiento,129.3607,73.0306,30.9432,0.0000
calentamiento,129.5597,73.0496,30.8808,0.0000
calentamiento,129.7603,73.0008,30.9353,0.0000
calentamiento,129.9611,73.0468,30.8847,0.0000
calentamiento,130.1510,73.0139,30.8784,0.0000
calentamiento,130.3610,72.9816,30.9181,0.0000
calentamiento,130.5595,73.0155,30.9915,0.0000
calentamiento,130.7603,72.9709,30.9113,0.0000
calentamiento,130.9612,72.9749,30.9228,0.0000
calentamiento,131.1615,73.0067,30.9108,0.0000
calentamiento,131.3602,72.9445,30.9466,0.0000
calentamiento,131.5630,72.9809,30.8742,0.0000
calentamiento,131.7617,72.9950,30.8925,0.0000
calentamiento,131.9516,72.9414,30.9505,0.0000
calentamiento,132.1528,72.9960,30.8850,0.0000
calentamiento,132.3622,72.9690,30.9040,0.0000
calentamiento,132.5531,72.9339,30.9732,0.0000
calentamiento,132.7626,72.9804,30.9314,0.0000
calentamiento,132.9634,72.9202,30.9789,0.0000
calentamiento,133.1482,72.9314,31.0259,0.0000
calentamiento,133.3629,72.9660,30.9403,0.0000
calentamiento,133.5478,72.9058,31.0043,0.0000
calentamiento,133.7528,72.9249,30.9870,0.0000
calentamiento,133.9470,72.9396,30.9638,0.0000
calentamiento,134.1470,72.8820,31.0079,0.0000
calentamiento,134.3534,72.9410,30.9844,0.0000
calentamiento,134.5467,72.9183,30.9886,0.0000
calentamiento,134.7479,72.8893,30.9445,0.0000
calentamiento,134.9536,72.9021,30.9711,0.0000
calentamiento,135.1485,72.8708,30.9805,0.0000
calentamiento,135.3529,72.8753,30.9776,0.0000
calentamiento,135.5482,72.9090,30.9019,0.0000
calentamiento,135.7484,72.8599,30.9108,0.0000
calentamiento,135.9484,72.8785,30.9562,0.0000
calentamiento,136.1472,72.8962,30.8996,0.0000
calentamiento,136.3494,72.8404,30.9131,0.0000
calentamiento,136.5489,72.8752,30.8615,0.0000
calentamiento,136.7484,72.8417,30.9703,0.0000
calentamiento,136.9542,72.8400,31.0891,0.0000
calentamiento,137.1498,72.8719,30.9176,0.0000
calentamiento,137.3484,72.8234,30.9207,0.0000
calentamiento,137.5496,72.8453,30.9894,0.0000
calentamiento,137.7506,72.8464,30.9030,0.0000
calentamiento,137.9505,72.7921,30.8844,0.0000
calentamiento,138.1478,72.8371,30.9792,0.0000
calentamiento,138.3513,72.8124,30.9732,0.0000
calentamiento,138.5500,72.8150,30.9077,0.0000
calentamiento,138.7507,72.8510,30.9322,0.0000
calentamiento,138.9508,72.8019,30.9865,0.0000
calentamiento,139.1498,72.8213,30.9601,0.0000
calentamiento,139.3520,72.8404,30.9241,0.0000
calentamiento,139.5515,72.7632,30.8769,0.0000
calentamiento,139.7498,72.8100,30.9301,0.0000
calentamiento,139.9514,72.7831,30.8643,0.0000
calentamiento,140.1514,72.7492,30.9382,0.0000
calentamiento,140.3518,72.8218,30.8667,0.0000
calentamiento,140.5517,72.7498,30.9716,0.0000
calentamiento,140.7522,72.7817,30.8878,0.0000
calentamiento,140.9586,72.8047,30.8434,0.0000
calentamiento,141.1526,72.7376,30.9857,0.0000
calentamiento,141.3528,72.7707,30.9335,0.0000
calentamiento,141.5544,72.7639,30.8604,0.0000
calentamiento,141.7528,72.7001,30.9941,0.0000
calentamiento,141.9541,72.7674,30.9071,0.0000
calentamiento,142.1601,72.7247,30.9165,0.0000
calentamiento,142.3530,72.7235,30.8659,0.0000
calentamiento,142.5536,72.7407,30.8510,0.0000
calentamiento,142.7539,72.7078,30.9607,0.0000
calentamiento,142.9539,72.7213,30.8628,0.0000
calentamiento,143.1545,72.7315,30.9343,0.0000
calentamiento,143.3525,72.6991,30.9218,0.0000
calentamiento,143.5539,72.7104,30.9421,0.0000
calentamiento,143.7547,72.7103,30.8883,0.0000
calentamiento,143.9545,72.6911,30.9304,0.0000
calentamiento,144.1549,72.7015,30.8771,0.0000
calentamiento,144.3605,72.6709,30.9267,0.0000
calentamiento,144.5546,72.6860,30.9393,0.0000
calentamiento,144.7556,72.6906,30.8951,0.0000
calentamiento,144.9551,72.6409,30.9103,0.0000
calentamiento,145.1552,72.6548,30.9301,0.0000
calentamiento,145.3556,72.6924,30.8481,0.0000
calentamiento,145.5557,72.6311,30.8688,0.0000
calentamiento,145.7545,72.6765,30.8414,0.0000
calentamiento,145.9607,72.6526,30.8667,0.0000
calentamiento,146.1559,72.6309,30.9309,0.0000
calentamiento,146.3562,72.6768,30.8954,0.0000
calentamiento,146.5563,72.6251,30.9254,0.0000
calentamiento,146.7569,72.6117,30.8912,0.0000
calentamiento,146.9554,72.6372,30.8581,0.0000
calentamiento,147.1567,72.6076,30.8575,0.0000
calentamiento,147.3567,72.6260,30.8756,0.0000
calentamiento,147.5568,72.6254,30.8664,0.0000
calentamiento,147.7576,72.6018,30.9173,0.0000
calentamiento,147.9580,72.6257,30.9471,0.0000
calentamiento,148.1471,72.5996,30.8763,0.0000
calentamiento,148.3485,72.5759,30.9124,0.0000
calentamiento,148.5584,72.6102,30.9160,0.0000
calentamiento,148.7476,72.5753,30.8763,0.0000
calentamiento,148.9588,72.5599,30.8826,0.0000
calentamiento,149.1584,72.5972,30.8450,0.0000
calentamiento,149.3482,72.5526,30.9319,0.0000
calentamiento,149.5589,72.5866,30.9017,0.0000
calentamiento,149.7587,72.5804,30.8967,0.0000
calentamiento,149.9485,72.5375,30.8943,0.0000
calentamiento,150.1588,72.5896,30.8949,0.0000
calentamiento,150.3593,72.5444,30.9084,0.0000
calentamiento,150.5487,72.5366,30.9019,0.0000
calentamiento,150.7606,72.5798,30.8643,0.0000
